title,release_date,popularity,vote_average,runtime,genres,on_netflix
Casper,1995-05-26,12.812539,6.0,100.0,"Fantasy, Comedy, Family",False
Clockers,1995-09-15,4.558992,6.8,128.0,"Mystery, Crime, Drama",False
Congo,1995-06-09,7.260574,5.0,109.0,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",True
Crimson Tide,1995-05-12,8.657365,7.0,116.0,"Action, Thriller, Drama",False
Crumb,1994-09-10,3.620388,7.6,119.0,Documentary,False
Desperado,1995-08-25,6.950458,6.8,104.0,"Thriller, Action, Crime",False
Devil in a Blue Dress,1995-09-15,4.646132,6.3,102.0,"Drama, Mystery, Thriller",False
Die Hard: With a Vengeance,1995-05-19,15.138855,6.9,128.0,"Action, Thriller",False
The Doom Generation,1995-10-27,7.120806,5.6,80.0,"Action, Comedy, Crime, Drama",False
Feast of July,1995-10-12,0.523575,0.0,116.0,"Drama, Crime",False
First Knight,1995-07-07,15.178338,5.9,134.0,"Action, Adventure, Drama, Romance",False
Free Willy 2 - The Adventure Home,1995-07-19,7.575098,5.5,95.0,Adventure,False
Hackers,1995-09-14,14.810519,6.2,107.0,"Action, Crime, Thriller, Drama",False
Jeffrey,1995-08-18,3.196456,6.5,92.0,"Comedy, Drama, Romance",False
Johnny Mnemonic,1995-05-26,11.715868,5.5,97.0,"Adventure, Action, Drama, Science Fiction, Thriller",False
Judge Dredd,1995-06-30,8.184815,5.4,96.0,Science Fiction,False
Jury Duty,1995-04-12,3.676921,4.0,88.0,"Comedy, Drama",False
Kids,1995-07-28,4.877872,6.8,91.0,"Drama, Crime",False
Living in Oblivion,1995-01-20,10.058329,7.2,89.0,"Drama, Comedy",False
Lord of Illusions,1995-08-25,4.102409,5.9,119.0,"Mystery, Horror, Thriller",False
Love & Human Remains,1993-05-20,0.354014,7.0,100.0,"Comedy, Drama",False
Mad Love,1995-05-26,2.624771,5.5,95.0,"Drama, Family, Romance",False
Mallrats,1995-10-20,8.25547,6.8,94.0,"Romance, Comedy",False
Mighty Morphin Power Rangers: The Movie,1995-06-30,7.024227,5.2,92.0,"Action, Adventure, Science Fiction, Family, Fantasy",False
Moonlight and Valentino,1995-09-29,1.01115,5.6,100.0,"Comedy, Drama, Romance",False
Mute Witness,1995-09-28,2.466066,6.4,95.0,"Thriller, Foreign",False
Nadja,1994-09-13,7.720056,5.9,93.0,"Horror, Thriller",False
The Net,1995-07-28,13.304342,5.6,114.0,"Crime, Drama, Mystery, Thriller, Action",True
Nine Months,1995-07-12,8.482834,5.5,103.0,Comedy,False
Party Girl,1995-06-09,1.165039,5.8,94.0,Comedy,False
The Prophecy,1995-09-01,10.187623,6.4,98.0,"Fantasy, Horror, Thriller",False
Reckless,1995-11-17,0.119713,10.0,91.0,"Fantasy, Comedy, Drama",False
Safe,1995-06-23,8.180047,7.2,119.0,Drama,False
The Scarlet Letter,1995-10-13,6.752119,5.5,135.0,"Drama, History, Romance",False
The Show,1995-08-25,0.159596,5.3,93.0,Documentary,True
Showgirls,1995-09-22,17.502375,4.9,128.0,Drama,False
Smoke,1995-06-09,5.552946,7.2,112.0,"Comedy, Drama",False
Something to Talk About,1995-08-04,3.743212,5.7,106.0,Comedy,False
Species,1995-07-07,13.492845,5.5,108.0,"Science Fiction, Horror, Action",False
The Stars Fell on Henrietta,1995-09-15,0.913522,6.6,109.0,Drama,False
Strange Days,1995-10-13,11.223055,6.8,145.0,"Crime, Drama, Science Fiction, Thriller",False
The Umbrellas of Cherbourg,1964-02-19,8.133881,7.6,91.0,"Drama, Romance",False
The Tie That Binds,1995-09-08,1.820419,4.6,99.0,Thriller,False
